,0
0,0.40248266
1,0.39157617
2,0.3264554
3,0.36000785
4,0.35671175
5,0.38866568
6,0.42258546
7,0.36844772
8,0.3175636
9,0.25814673
10,0.27261797
11,0.3008019
12,0.2832442
13,0.29587474
14,0.2819272
15,0.24733824
16,0.28498638
17,0.2639273
18,0.2656253
19,0.2906544
20,0.22063676
21,0.25689355
22,0.2594793
23,0.24353431
24,0.29947105
25,0.2626226
26,0.33512083
27,0.33143517
28,0.32019532
29,0.21278632
30,0.32476404
31,0.30217946
32,0.30613148
33,0.23991713
34,0.31222355
35,0.3254021
36,0.2367016
37,0.2749233
38,0.31735912
39,0.24165043
40,0.34163356
41,0.35106376
42,0.3014565
43,0.32476896
44,0.29946345
45,0.2796944
46,0.2554505
47,0.28765017
48,0.29145342
49,0.20246711
50,0.20495032
51,0.15739793
52,0.16055405
53,0.17314127
54,0.19366479
55,0.20387872
56,0.22881548
57,0.19030498
58,0.17386088
59,0.18698578
60,0.15058672
61,0.26675603
62,0.16066764
63,0.17204705
64,0.24257952
65,0.15759689
66,0.29005936
67,0.3037675
68,0.31828615
69,0.31556314
70,0.29107064
71,0.24110462
72,0.2905298
73,0.2665862
74,0.29501528
75,0.28893465
76,0.3001303
77,0.18547004
78,0.26471102
79,0.16710734
80,0.2613919
81,0.2842438
82,0.2569705
83,0.2617761
84,0.23081762
85,0.24927197
86,0.25717077
87,0.2365967
88,0.28357682
89,0.31024274
90,0.25497487
91,0.33142707
92,0.2863399
93,0.3619468
94,0.15322074
95,0.26926282
96,0.25375068
97,0.24349256
98,0.26805145
99,0.2368259
100,0.25965235
101,0.26676694
102,0.17037834
103,0.23897031
104,0.22270715
105,0.32435673
106,0.28176036
107,0.334259
108,0.27152354
109,0.25926003
110,0.23037535
111,0.38692233
112,0.31195495
113,0.29541785
114,0.2765834
115,0.2900874
116,0.20823582
117,0.2554906
118,0.25268942
119,0.28788185
120,0.3663615
121,0.17682321
122,0.3273784
123,0.28488588
124,0.2819901
125,0.34554952
126,0.29787996
127,0.42032114
128,0.22674568
129,0.29003587
130,0.32244962
131,0.22724298
132,0.24455124
133,0.36468843
134,0.22163601
135,0.31200987
136,0.27862844
137,0.2815487
138,0.28414276
139,0.27605367
140,0.2852932
141,0.31508848
142,0.29435128
143,0.24505411
144,0.20842557
145,0.24937679
146,0.2905836
147,0.24216036
148,0.20328683
149,0.30603766
150,0.25406712
151,0.30501714
152,0.34299386
153,0.23271753
154,0.24048117
155,0.20781514
156,0.24714705
157,0.31349733
158,0.2969336
159,0.22013606
160,0.28525642
161,0.31540146
162,0.30413964
163,0.34742907
164,0.2844515
165,0.40759006
166,0.34658217
167,0.3475288
168,0.3951775
169,0.44890338
170,0.45078593
171,0.4907058
172,0.37971172
173,0.34512874
174,0.24809563
175,0.2234107
176,0.28533527
177,0.2710431
178,0.26699725
179,0.30372232
180,0.29349312
181,0.2661268
182,0.3011701
183,0.20407568
184,0.3148793
185,0.19378315
186,0.24522701
187,0.2478358
188,0.19610293
189,0.23996428
190,0.26286528
191,0.310145
192,0.27897018
193,0.3567326
194,0.36932272
195,0.3199409
196,0.30179536
197,0.3551619
198,0.25977433
199,0.27446347
200,0.33087453
201,0.3412253
202,0.26313022
203,0.2748161
204,0.27074245
205,0.29408908
206,0.26110888
207,0.26288277
208,0.26943594
209,0.2317883
210,0.27121863
211,0.2501481
212,0.24599256
213,0.27316505
214,0.31787091
215,0.28943583
216,0.24401346
217,0.35404202
218,0.28152534
219,0.24504635
220,0.11220264
221,0.26607883
222,0.24434982
223,0.25107673
224,0.21391974
225,0.23002535
226,0.25600404
227,0.21488816
228,0.27868617
229,0.3262838
230,0.22925003
231,0.27994558
232,0.31906024
233,0.3274807
234,0.29931635
235,0.37556228
236,0.40356708
237,0.38139534
238,0.30811885
239,0.29735953
240,0.3534294
241,0.27408746
242,0.40780786
243,0.21083912
244,0.21359125
245,0.25750315
246,0.1717905
247,0.19517097
248,0.18530868
249,0.22226998
250,0.19667472
251,0.20443496
252,0.22996645
253,0.19038579
254,0.17633882
255,0.21285757
256,0.23429042
257,0.1922629
258,0.28228047
259,0.27938452
260,0.19667788
261,0.20241395
262,0.34417957
263,0.24837802
264,0.33995542
265,0.28890467
266,0.32170567
267,0.36115265
268,0.2976926
269,0.33117193
270,0.30310076
271,0.3554333
272,0.23217726
273,0.2851604
274,0.11968321
275,0.18203013
276,0.23076381
277,0.24090011
278,0.24782309
279,0.27873775
280,0.1885537
281,0.3196551
282,0.2664781
283,0.19246951
284,0.26082936
285,0.25810832
286,0.27076903
287,0.23787627
288,0.18509246
289,0.24577473
290,0.26755098
291,0.25044984
292,0.23492219
293,0.22743201
294,0.140537
295,0.24543627
296,0.20387761
297,0.22455153
298,0.27202842
299,0.21377994
300,0.22882827
301,0.19755828
302,0.26002693
303,0.24013169
304,0.21124275
305,0.2236005
306,0.30046672
307,0.21581745
308,0.18965943
309,0.23540534
310,0.2469479
311,0.22624585
312,0.25728378
313,0.23519762
314,0.2871347
315,0.23650452
316,0.2508629
317,0.40997282
318,0.29726607
319,0.24921815
320,0.21727982
321,0.30759645
322,0.28455663
323,0.3060193
324,0.25370046
325,0.31361374
326,0.3222683
327,0.27688265
328,0.30847418
329,0.34476683
330,0.33042088
331,0.28591317
332,0.33600795
333,0.2547818
334,0.31288266
335,0.1545375
336,0.48581666
337,0.3300175
338,0.36623305
339,0.36759868
340,0.34590688
341,0.37327275
342,0.39048088
343,0.3920178
344,0.384865
345,0.17474894
346,0.20564076
347,0.25137925
348,0.19499807
349,0.19880454
350,0.20285499
351,0.2138281
352,0.22245057
353,0.19894844
354,0.22135426
355,0.20009933
356,0.28269446
357,0.3294586
358,0.302101
359,0.26487356
360,0.25921392
361,0.21981554
362,0.304275
363,0.30460486
364,0.25909355
365,0.35286862
366,0.24797761
367,0.27049965
368,0.23839985
369,0.25692794
370,0.21973412
371,0.25977942
372,0.21139897
373,0.17726098
374,0.19435917
375,0.21656394
376,0.21089637
377,0.21383297
378,0.26391393
379,0.23815954
380,0.2694201
381,0.2376179
382,0.24404943
383,0.23446983
384,0.282723
385,0.23698385
386,0.32132438
387,0.32628745
388,0.35443422
389,0.3406948
390,0.30826712
391,0.35544628
392,0.27299985
393,0.35327923
394,0.27701068
395,0.30545893
396,0.2948218
397,0.30271024
398,0.31716985
399,0.30505845
400,0.26980165
401,0.29574606
402,0.33083895
403,0.29791132
404,0.2600842
405,0.23566906
406,0.31136015
407,0.24733947
408,0.23289825
409,0.22075082
410,0.28292072
411,0.26351032
412,0.20698838
413,0.19430691
414,0.28050375
415,0.27207735
416,0.25336698
417,0.23361279
418,0.27986714
419,0.22432624
420,0.19193539
421,0.1907628
422,0.25290707
423,0.20681289
424,0.2605294
425,0.3148197
426,0.24690905
427,0.32790154
428,0.27591953
429,0.26488942
430,0.26112506
431,0.26724315
432,0.27954182
433,0.22551242
434,0.28703928
435,0.24334316
436,0.2792294
437,0.2354937
438,0.2641034
439,0.16934575
440,0.23280463
441,0.230399
442,0.24354726
443,0.27833667
444,0.24815436
445,0.21434852
446,0.23801818
447,0.22815253
448,0.22380458
449,0.19259755
450,0.29364875
451,0.31038907
452,0.27551538
453,0.24778639
454,0.2946565
455,0.31477648
456,0.3479095
457,0.30458722
458,0.28921083
459,0.27179793
460,0.3271046
461,0.28082028
462,0.24525753
463,0.27580827
464,0.21062505
465,0.25894865
466,0.266186
467,0.27117783
468,0.2489139
469,0.24551183
470,0.2445069
471,0.23964812
472,0.2646157
473,0.2658566
474,0.22560707
475,0.21117355
476,0.2313015
477,0.23483257
478,0.24016552
479,0.20669864
480,0.23861755
481,0.23545344
482,0.25379214
483,0.25370017
484,0.24902938
485,0.24867359
486,0.26926905
487,0.26069987
488,0.24993859
489,0.21858382
490,0.24542828
491,0.27300298
492,0.23308414
493,0.24806263
494,0.3227941
495,0.26674423
496,0.2661405
497,0.2030633
498,0.29121384
499,0.25167277
500,0.30226865
501,0.2562829
502,0.28533247
503,0.2754125
504,0.29232767
505,0.25442618
506,0.26709443
507,0.2388719
508,0.24711402
509,0.24142168
510,0.28038514
511,0.29074314
512,0.26798546
513,0.26664636
514,0.28649214
515,0.2675622
516,0.20720865
517,0.29029417
518,0.24008021
519,0.2481547
520,0.22793129
521,0.19460772
522,0.20102452
523,0.18106554
524,0.18575685
