,0
0,0.45827368
1,0.6210123
2,0.5287403
3,0.5529608
4,0.37581602
5,0.40060112
6,0.41973084
7,0.2490162
8,0.341569
9,0.28046298
10,0.2740352
11,0.25888947
12,0.21409264
13,0.31232455
14,0.21687777
15,0.30814373
16,0.1759213
17,0.2550468
18,0.3002681
19,0.21636525
20,0.2070784
21,0.31833366
22,0.29165998
23,0.26604688
24,0.31592885
25,0.32374322
26,0.2402071
27,0.30837992
28,0.36209542
29,0.29348996
30,0.2862443
31,0.33003384
32,0.3617876
33,0.28105885
34,0.26650694
35,0.26249388
36,0.3322224
37,0.297102
38,0.27472165
39,0.31012997
40,0.33376765
41,0.3363089
42,0.20069808
43,0.21788335
44,0.21968903
45,0.24058314
46,0.24940413
47,0.23498711
48,0.29797503
49,0.22968745
50,0.21376207
51,0.28396577
52,0.24115536
53,0.27019283
54,0.26342344
55,0.22611539
56,0.23551223
57,0.2999623
58,0.2211005
59,0.26619044
60,0.20730717
61,0.2679213
62,0.2694674
63,0.20399736
64,0.27404052
65,0.3545381
66,0.25107297
67,0.32981902
68,0.36907887
69,0.33208075
70,0.3686655
71,0.40634716
72,0.33035415
73,0.2526307
74,0.3035267
75,0.33237705
76,0.28388023
77,0.28254175
78,0.2131648
79,0.27829862
80,0.26855144
81,0.30034056
82,0.29030812
83,0.362398
84,0.21218272
85,0.2592577
86,0.20122702
87,0.27236632
88,0.2509294
89,0.2683406
90,0.20821832
91,0.33649752
92,0.3554668
93,0.30597556
94,0.2475322
95,0.26337934
96,0.2960823
97,0.3077766
98,0.31956318
99,0.2963099
100,0.28311986
101,0.33322054
102,0.28756616
103,0.3641106
104,0.31776124
105,0.27637511
106,0.31776124
107,0.25923163
108,0.38151923
109,0.34148496
110,0.3223276
111,0.29181594
112,0.30755603
113,0.2725593
114,0.3683796
115,0.21694471
116,0.3422701
117,0.30600426
118,0.3486285
119,0.28457478
120,0.31354332
121,0.24146941
122,0.21946548
123,0.24241188
124,0.28321928
125,0.25539294
126,0.26526928
127,0.21490814
128,0.22493099
129,0.17823666
130,0.26235697
131,0.18696055
132,0.3125185
133,0.28348777
134,0.2830517
135,0.30927154
136,0.27299327
137,0.3226642
138,0.30705893
139,0.3047415
140,0.26362914
141,0.33386254
142,0.29867598
143,0.25121284
144,0.25245982
145,0.31574944
146,0.381182
147,0.33139983
148,0.3502929
149,0.34816805
150,0.32313454
