,0
0,0.43414474
1,0.43414474
2,0.40872574
3,0.40872574
4,0.43478075
5,0.43478075
6,0.43388915
7,0.43388915
8,0.41661257
9,0.41661257
10,0.4405669
11,0.4405669
12,0.48124117
13,0.48124117
14,0.46255875
15,0.46255875
16,0.4683528
17,0.4683528
18,0.4651296
19,0.45771092
20,0.45771092
21,0.5025906
22,0.4816337
23,0.4816337
24,0.44678956
25,0.36766237
26,0.429168
27,0.36810696
28,0.31633246
29,0.38536486
30,0.33416003
31,0.28138342
32,0.33112517
33,0.34499776
34,0.39831924
35,0.37452424
36,0.29879218
37,0.34092277
38,0.28146213
39,0.30667737
40,0.3417666
41,0.3260191
42,0.32797834
43,0.32521138
44,0.30576757
45,0.38055417
46,0.38269308
47,0.38269308
48,0.36525473
49,0.398743
50,0.3612994
51,0.3612994
52,0.36119923
53,0.36119923
54,0.3987703
55,0.3987703
56,0.33122477
57,0.33122477
58,0.34170827
59,0.34170827
60,0.33570337
61,0.33570337
62,0.34805077
63,0.34805077
64,0.35482717
65,0.35482717
66,0.3390725
67,0.3390725
68,0.3547505
69,0.3547505
70,0.37095392
71,0.37095392
72,0.3705295
73,0.3705295
74,0.47632504
75,0.47632504
76,0.45376974
77,0.45376974
78,0.47635332
79,0.47635332
80,0.492053
81,0.492053
82,0.46006295
83,0.46006295
84,0.45738253
85,0.45738253
86,0.47541922
87,0.47541922
88,0.36460876
89,0.36460876
90,0.36527666
91,0.36527666
92,0.39839715
93,0.39839715
94,0.38893944
95,0.38893944
96,0.365016
97,0.365016
98,0.3262786
99,0.3262786
100,0.3295777
101,0.3295777
102,0.39850372
103,0.39850372
104,0.4321853
105,0.4321853
106,0.4017237
107,0.4017237
108,0.43480855
109,0.43480855
110,0.44339728
111,0.44339728
112,0.42023975
113,0.42023975
114,0.4403073
115,0.4403073
116,0.40028614
117,0.40028614
118,0.43487766
119,0.43487766
120,0.4027233
121,0.4027233
122,0.43956614
123,0.41870263
124,0.3893933
